age,gender,height_m,weight_kg,seatbelt,ride_drunkdriver,drive_drunk,drive_text,carried_weapon,unsafe_school,bullied,sad,days_smoke,days_drink
15,male,1.63,43.09,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.65,54.43,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.7,68.04,always,no,not drive,not drive,no,yes,no,no,0,0
14,male,1.65,53.07,always,no,not drive,not drive,no,no,no,no,0,0
14,male,1.75,82.56,always,yes,not drive,not drive,no,no,no,yes,0,0
14,male,1.6,45.81,most of the time,no,not drive,not drive,yes,no,no,no,0,0
14,male,1.78,54.43,always,no,not drive,not drive,no,no,yes,no,0,0
15,male,1.7,77.11,most of the time,no,0 times,0 days,no,no,no,no,0,0
15,male,1.63,76.2,always,no,not drive,not drive,no,no,no,no,0,0
15,female,1.68,54.43,rarely,no,not drive,not drive,no,no,yes,yes,0,0
15,female,1.6,55.79,most of the time,no,not drive,not drive,no,no,no,no,0,0
17,female,1.57,54.43,always,no,0 times,3 to 5 days,no,no,no,yes,0,0
16,female,1.63,65.77,always,yes,0 times,0 days,yes,yes,yes,yes,0,1
16,female,1.65,48.08,always,no,not drive,not drive,no,no,no,no,0,0
17,female,1.65,54.43,most of the time,yes,0 times,0 days,no,no,no,no,4,5
16,female,1.55,69.4,sometimes,yes,0 times,3 to 5 days,no,yes,yes,no,0,3
16,female,1.6,55.79,always,yes,0 times,0 days,no,no,yes,yes,0,2
17,male,1.88,95.26,most of the time,no,0 times,3 to 5 days,no,no,no,no,0,0
17,male,1.8,58.97,always,no,not drive,not drive,no,no,yes,yes,0,1
15,male,1.68,63.5,always,no,not drive,not drive,no,no,no,yes,0,0
15,male,1.7,81.65,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.75,60.33,always,no,not drive,not drive,no,no,yes,no,0,0
15,male,1.68,52.16,always,no,not drive,not drive,no,no,no,no,0,0
17,male,1.78,68.04,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.83,66.68,always,no,not drive,not drive,no,no,no,no,0,0
15,male,1.63,65.77,always,no,0 times,0 days,no,no,yes,yes,0,0
15,male,1.65,61.24,always,yes,not drive,not drive,no,no,no,no,0,0
16,male,1.7,54.43,always,no,0 times,0 days,no,no,no,no,0,0
16,male,1.78,63.5,always,no,0 times,0 days,no,no,no,no,0,0
15,male,1.8,83.92,most of the time,no,not drive,not drive,no,no,no,no,0,0
16,male,1.63,57.15,always,no,not drive,not drive,no,no,no,no,0,0
16,male,1.75,73.94,always,no,0 times,0 days,no,no,no,no,0,1
17,female,1.63,49.44,always,no,0 times,1 or 2 days,no,no,no,no,0,0
17,female,1.57,52.16,always,no,0 times,6 to 9 days,no,yes,yes,yes,1,3
17,female,1.63,58.97,always,no,not drive,not drive,no,no,no,no,0,0
17,female,1.57,56.7,most of the time,yes,0 times,0 days,no,no,no,no,0,0
17,female,1.57,56.7,always,no,0 times,0 days,no,no,no,yes,6,2
17,female,1.55,64.41,always,no,not drive,not drive,no,no,no,yes,0,0
17,female,1.57,53.52,always,no,0 times,1 or 2 days,no,no,no,yes,0,0
17,female,1.78,70.31,always,no,0 times,0 days,no,no,no,no,0,0
17,female,1.7,61.24,always,no,not drive,not drive,no,no,no,yes,0,0
17,female,1.65,74.84,always,no,0 times,0 days,no,no,no,yes,0,1
17,female,1.63,63.5,always,yes,not drive,not drive,no,no,no,no,0,1
17,female,1.57,90.72,sometimes,yes,not drive,not drive,no,no,no,yes,4,11
17,female,1.63,52.62,always,no,not drive,not drive,no,no,no,no,0,0
17,male,1.7,58.06,always,no,0 times,1 or 2 days,yes,no,no,no,0,1
17,male,1.68,54.43,always,no,not drive,not drive,no,no,no,no,0,0
